GetLow,Drama,Mystery
NoStringsAttached,Comedy,Romance
HillsHaveEyesThe,Horror,Thriller
MrDeedsGoestoTown,Comedy
48Hrs,Action,Comedy,Thriller
HighFidelity,Romance,Comedy,Drama,Music
LincolnLawyerThe,Crime,Drama,Thriller
AlienNation,Crime,Drama,Sci-Fi
MeanStreets,Crime,Drama
Dune,Action,Adventure,Sci-Fi,Fantasy
NinthGateThe,Horror,Thriller,Mystery
17Again,Comedy,Drama,Romance
Gattaca,Drama,Sci-Fi,Thriller
HappyBirthdayWandaJune,Comedy
RustandBone,Drama,Romance
LostHighway,Drama,Mystery,Thriller,Horror
Hannibal,Horror,Thriller
QueenoftheDamned,Horror
FrenchConnectionThe,Action,Crime,Thriller
CrowThe,Action,Drama,Horror,Fantasy,Romance,Thriller
Mulan,Family,Animation,Comedy,Musical,Adventure
SuspectZero,Thriller,Crime,Horror,Drama
IStillKnowWhatYouDidLastSummer,Horror,Mystery,Thriller
MatrixReloadedThe,Sci-Fi,Action,Thriller
ColdMountain,Drama,War,Romance
Hitchcock,Drama
SweetSmellofSuccess,Drama,Film-Noir
QuantumProject,Drama,Short
Inception,Action,Adventure,Mystery
StarTrekTheMotionPicture,Sci-Fi
25thHour,Crime,Drama
SweeneyToddTheDemonBarberofFleetStreet,Drama,Horror,Musical
Hanna,Action,Crime,Mystery
ShiningThe,Horror,Thriller
PiratesoftheCaribbeanDeadMansChest,Action,Adventure,Comedy,Fantasy
IndependenceDay,Action,Sci-Fi
DriveAngry,Action,Crime,Fantasy
Kids,Drama
AmericanThe,Crime,Drama,Thriller
Avatar,Action,Adventure,Sci-Fi
PunchDrunkLove,Comedy,Drama,Romance
LifeofPi,Adventure,Drama
Awakenings,Drama
Buried,Drama,Mystery,Thriller
PlanetoftheApesThe,Action,Drama,Sci-Fi
StarTrekNemesis,Action,Adventure,Drama,Sci-Fi,Thriller
LightSleeper,Drama
30MinutesorLess,Action,Adventure,Comedy
CuriousCaseofBenjaminButtonThe,Drama,Fantasy,Mystery,Romance
Collateral,Action,Crime,Thriller
AmericanSplendor,Comedy,Drama
Frankenstein,Drama,Fantasy,Horror,Romance,Sci-Fi
Drive,Action,Crime,Drama
Shifty,Thriller
AvengersThe,Action,Adventure
GrandHotel,Drama,Romance
Invictus,Drama
AvventuraLTheAdventure,Drama,Mystery,Thriller
DumbandDumber,Adventure,Comedy
Babel,Drama,Thriller
Gonein60Seconds,Action,Crime
IronLadyThe,Drama
AmericanShaolinKingofKickboxersII,Action
FaceOff,Action,Crime,Drama,Thriller
Cobb,Drama
LifeofDavidGaleThe,Drama,Crime,Thriller
GhostandtheDarknessThe,Action,Adventure,Drama,Thriller
Burlesque,Drama,Musical,Romance
SherlockHolmes,Action,Adventure,Crime,Mystery,Thriller
Machete,Action,Thriller
Frequency,Thriller
HappyFeet,Animation,Comedy,Family
Amour,Drama,Romance
Freaked,Comedy,Sci-Fi
LostHorizon,Adventure,Fantasy,Sci-Fi,Drama,Mystery
JurassicParkIII,Action,Adventure,Horror,Sci-Fi,Thriller
HesJustNotThatIntoYou,Comedy,Drama,Romance
VerdictThe,Drama
Shame,Drama
GoodGirlThe,Drama,Comedy
LimeyThe,Crime,Drama
BlastfromthePastThe,Comedy,Drama,Romance
Swingers,Comedy,Drama
DeathtoSmoochy,Comedy,Crime
SweetHereafterThe,Drama
MechanicThe,Action,Crime,Thriller
AvengersThe2012,Action,Adventure,Sci-Fi
RuinsThe,Horror,Thriller
QueenThe,Drama
BlindSideThe,Drama
BlingRingThe,Crime,Drama
LostinTranslation,Comedy,Drama,Romance
Fargo,Comedy,Crime,Thriller
Mud,Drama
RunawayBride,Comedy,Romance
StarTrek,Action,Adventure,Sci-Fi
CryingGame,Action,Drama,Romance
CruelIntentions,Drama,Romance
ImaginariumofDoctorParnassusThe,Adventure,Fantasy,Mystery
GetawayThe,Action,Crime,Drama,Thriller
FamilyManThe,Comedy,Romance
Ali,Drama
IllDoAnything,Comedy,Drama
CableGuy,Comedy,Drama,Thriller
FantasticMrFox,Animation,Adventure,Comedy,Family
DeepRising,Action,Horror,Thriller
15Minutes,Action,Crime,Thriller
DebtThe,Action,Drama,Thriller
JurassicParkTheLostWorld,Action,Adventure,Horror,Sci-Fi,Thriller
InventingtheAbbotts,Drama,Romance
VeryBadThings,Comedy,Thriller
DeepCover,Action,Crime,Thriller
HighlanderEndgame,Action,Adventure,Fantasy,Sci-Fi
InventionofLyingThe,Comedy
Colombiana,Action,Crime,Drama
PianoThe,Drama,Romance
Blow,Crime,Drama
GetShorty,Action,Comedy,Crime,Drama
Rush,Action,Drama
Alien,Action,Horror,Sci-Fi,Thriller
ButterflyEffectThe,Drama,Thriller,Fantasy
BachelorParty,Comedy
GoodWillHunting,Comedy,Drama
CandletoWater,Drama
LostinSpace,Action,Adventure,Sci-Fi
ShawshankRedemptionThe,Drama
LosersThe,Action,Adventure,Crime,Mystery,Thriller
StarTrekGenerations,Action,Adventure,Sci-Fi
GraduateThe,Comedy,Drama,Romance
44InchChest,Crime,Drama
StarTrekFirstContact,Action,Adventure,Sci-Fi
Warrior,Action,Drama
PitchBlack,Horror,Sci-Fi,Thriller
KidsAreAllRightThe,Comedy,Drama
PublicEnemies,Crime,Drama,Thriller
MrBlandingsBuildsHisDreamHouse,Comedy
FabulousBakerBoysThe,Drama,Romance
IncrediblesThe,Animation,Family,Adventure,Action,Comedy,Sci-Fi
BurningAnnie,Comedy,Drama,Romance
Shampoo,Drama
HannahandHerSisters,Comedy,Drama,Romance
CollateralDamage,Action,Thriller
MrBrooks,Crime,Drama,Thriller
MrsBrown,Drama,Romance
VanillaSky,Mystery,Romance,Sci-Fi,Thriller
RushHour2,Action,Comedy,Crime
Custody,Comedy
RushHour,Action,Comedy,Crime
Valkyrie,Drama,Thriller,War
MeetJoeBlack,Fantasy,Mystery,Romance,Drama
Godzilla,Sci-Fi,Action,Thriller
ColorofNight,Mystery,Romance,Thriller
ILoveYouPhillipMorris,Comedy,Drama,Romance
PurpleRain,Drama,Music
CrowSalvationThe,Action,Drama,Crime,Horror,Thriller
DryWhiteSeasonA,Drama,Thriller
CodeofSilence,Action,Drama
Airplane2TheSequel,Comedy,Sci-Fi
Gothika,Horror,Thriller,Mystery
PulpFiction,Action,Crime,Drama,Thriller
42,Drama
Hancock,Action,Comedy,Crime,Drama,Fantasy,Thriller
MatrixThe,Action,Sci-Fi,Thriller
FairGame,Action,Drama,Thriller
BloodandWine,Thriller,Crime,Drama
FantasticFour,Action,Adventure,Fantasy,Sci-Fi
